Calibration metrics:
x96: Cal. error 0.5050, RMSE 0.7569, R2 -21.4667
x97: Cal. error 0.5050, RMSE 0.7622, R2 -21.6343
x98: Cal. error 0.5050, RMSE 0.7682, R2 -21.7974
x99: Cal. error 0.5050, RMSE 0.7746, R2 -21.9444
x100: Cal. error 0.5050, RMSE 0.7788, R2 -22.1209
x101: Cal. error 0.5050, RMSE 0.7755, R2 -22.1252
x102: Cal. error 0.5050, RMSE 0.7809, R2 -22.1833
x103: Cal. error 0.5050, RMSE 0.7875, R2 -22.2142
x104: Cal. error 0.5050, RMSE 0.7890, R2 -22.2207
x105: Cal. error 0.5050, RMSE 0.7900, R2 -22.1620
x106: Cal. error 0.5050, RMSE 0.7929, R2 -22.1005
x107: Cal. error 0.5050, RMSE 0.7947, R2 -22.0001
x108: Cal. error 0.5050, RMSE 0.7962, R2 -21.8952
x109: Cal. error 0.5050, RMSE 0.7940, R2 -21.7372
x110: Cal. error 0.5050, RMSE 0.7909, R2 -21.5226
x111: Cal. error 0.5050, RMSE 0.7870, R2 -21.3078
x112: Cal. error 0.5050, RMSE 0.7786, R2 -21.0426
x113: Cal. error 0.5050, RMSE 0.7708, R2 -20.7793
x114: Cal. error 0.5050, RMSE 0.7629, R2 -20.4793
x115: Cal. error 0.5050, RMSE 0.7550, R2 -20.1714
x116: Cal. error 0.5050, RMSE 0.7445, R2 -19.8255
x117: Cal. error 0.5050, RMSE 0.7361, R2 -19.4887
x118: Cal. error 0.5050, RMSE 0.7292, R2 -19.1493
x119: Cal. error 0.5050, RMSE 0.7225, R2 -18.8215
x120: Cal. error 0.5050, RMSE 0.7164, R2 -18.4862
x121: Cal. error 0.5050, RMSE 0.7103, R2 -18.1782
x122: Cal. error 0.5050, RMSE 0.7064, R2 -17.8682
x123: Cal. error 0.5050, RMSE 0.7030, R2 -17.5704
x124: Cal. error 0.5050, RMSE 0.7000, R2 -17.2735
x125: Cal. error 0.5050, RMSE 0.6984, R2 -17.0415
x126: Cal. error 0.5050, RMSE 0.6961, R2 -16.8107
x127: Cal. error 0.5050, RMSE 0.6946, R2 -16.5882
x128: Cal. error 0.5050, RMSE 0.7187, R2 -15.7246
x129: Cal. error 0.5050, RMSE 0.7330, R2 -15.5170
x130: Cal. error 0.5050, RMSE 0.7532, R2 -15.2054
x131: Cal. error 0.5050, RMSE 0.7514, R2 -14.8512
x132: Cal. error 0.5050, RMSE 0.7565, R2 -14.6951
x133: Cal. error 0.5050, RMSE 0.7544, R2 -14.4226
x134: Cal. error 0.5050, RMSE 0.7601, R2 -14.2795
x135: Cal. error 0.5050, RMSE 0.7597, R2 -13.9918
x136: Cal. error 0.5050, RMSE 0.7445, R2 -13.8840
x137: Cal. error 0.5050, RMSE 0.7279, R2 -13.6604
x138: Cal. error 0.5050, RMSE 0.7189, R2 -13.6475
x139: Cal. error 0.5050, RMSE 0.7076, R2 -13.5450
x140: Cal. error 0.5050, RMSE 0.6921, R2 -13.6726
x141: Cal. error 0.5050, RMSE 0.6728, R2 -13.7330
x142: Cal. error 0.5050, RMSE 0.6628, R2 -14.0313
x143: Cal. error 0.5050, RMSE 0.6559, R2 -14.2833
x144: Cal. error 0.5050, RMSE 0.6568, R2 -14.8288
x145: Cal. error 0.5050, RMSE 0.6577, R2 -15.3110
x146: Cal. error 0.5050, RMSE 0.6639, R2 -16.0283
x147: Cal. error 0.5050, RMSE 0.6710, R2 -16.6528
x148: Cal. error 0.5050, RMSE 0.6825, R2 -17.5209
x149: Cal. error 0.5050, RMSE 0.6951, R2 -18.2238
x150: Cal. error 0.5050, RMSE 0.7151, R2 -19.0914
x151: Cal. error 0.5050, RMSE 0.7222, R2 -19.7023
x152: Cal. error 0.5050, RMSE 0.7193, R2 -20.3812
x153: Cal. error 0.5050, RMSE 0.7222, R2 -20.6988
x154: Cal. error 0.5050, RMSE 0.7390, R2 -21.1524
x155: Cal. error 0.5050, RMSE 0.7595, R2 -21.3934
x156: Cal. error 0.5050, RMSE 0.7983, R2 -21.8898
x157: Cal. error 0.5050, RMSE 0.8494, R2 -22.2855
x158: Cal. error 0.5050, RMSE 0.9147, R2 -22.8122
x159: Cal. error 0.5050, RMSE 0.9232, R2 -22.9247
x160: Cal. error 0.5050, RMSE 0.9163, R2 -23.0641
x161: Cal. error 0.5050, RMSE 0.8911, R2 -22.7711
x162: Cal. error 0.5050, RMSE 0.8928, R2 -22.7000
x163: Cal. error 0.5050, RMSE 0.8925, R2 -22.5518
x164: Cal. error 0.5050, RMSE 0.9112, R2 -22.7563
x165: Cal. error 0.5050, RMSE 0.9363, R2 -22.8287
x166: Cal. error 0.5050, RMSE 0.9645, R2 -23.0326
x167: Cal. error 0.5050, RMSE 0.9891, R2 -22.9858
x168: Cal. error 0.5050, RMSE 1.0233, R2 -23.1411
x169: Cal. error 0.5050, RMSE 0.9994, R2 -22.9747
x170: Cal. error 0.5050, RMSE 0.9862, R2 -23.0469
x171: Cal. error 0.5050, RMSE 1.0239, R2 -22.8684
x172: Cal. error 0.5050, RMSE 1.0338, R2 -23.0280
x173: Cal. error 0.5050, RMSE 0.9975, R2 -23.0087
x174: Cal. error 0.5050, RMSE 0.9609, R2 -23.2216
x175: Cal. error 0.5050, RMSE 0.9300, R2 -23.1467
x176: Cal. error 0.5050, RMSE 0.9170, R2 -23.3145
x177: Cal. error 0.5050, RMSE 0.9127, R2 -23.0719
x178: Cal. error 0.5050, RMSE 0.8985, R2 -22.9525
x179: Cal. error 0.5050, RMSE 0.8657, R2 -22.6071
x180: Cal. error 0.5050, RMSE 0.8363, R2 -22.4599
x181: Cal. error 0.5050, RMSE 0.8159, R2 -21.9206
x182: Cal. error 0.5050, RMSE 0.7998, R2 -21.4737
x183: Cal. error 0.5050, RMSE 0.7733, R2 -20.8244
x184: Cal. error 0.5050, RMSE 0.7660, R2 -20.4000
x185: Cal. error 0.5050, RMSE 0.7629, R2 -19.6579
x186: Cal. error 0.5050, RMSE 0.7695, R2 -19.1294
x187: Cal. error 0.5050, RMSE 0.7764, R2 -18.4504
x188: Cal. error 0.5050, RMSE 0.7575, R2 -17.9704
x189: Cal. error 0.5050, RMSE 0.7436, R2 -17.4558
x190: Cal. error 0.5050, RMSE 0.7350, R2 -17.0359
x191: Cal. error 0.5050, RMSE 0.7234, R2 -16.4066
x192: Cal. error 0.5050, RMSE 0.7189, R2 -15.8530
x193: Cal. error 0.5050, RMSE 0.7330, R2 -15.6470
x194: Cal. error 0.5050, RMSE 0.7534, R2 -15.3388
x195: Cal. error 0.5050, RMSE 0.7519, R2 -14.9890
x196: Cal. error 0.5050, RMSE 0.7568, R2 -14.8134
x197: Cal. error 0.5050, RMSE 0.7548, R2 -14.5327
x198: Cal. error 0.5050, RMSE 0.7604, R2 -14.3740
x199: Cal. error 0.5050, RMSE 0.7602, R2 -14.0831
x200: Cal. error 0.5050, RMSE 0.7447, R2 -13.9556
x201: Cal. error 0.5050, RMSE 0.7284, R2 -13.7289
x202: Cal. error 0.5050, RMSE 0.7192, R2 -13.7025
x203: Cal. error 0.5050, RMSE 0.7079, R2 -13.6051
x204: Cal. error 0.5050, RMSE 0.6923, R2 -13.7263
x205: Cal. error 0.5050, RMSE 0.6732, R2 -13.7979
x206: Cal. error 0.5050, RMSE 0.6631, R2 -14.0930
x207: Cal. error 0.5050, RMSE 0.6563, R2 -14.3527
x208: Cal. error 0.5050, RMSE 0.6570, R2 -14.8924
x209: Cal. error 0.5050, RMSE 0.6580, R2 -15.3813
x210: Cal. error 0.5050, RMSE 0.6641, R2 -16.0918
x211: Cal. error 0.5050, RMSE 0.6713, R2 -16.7194
x212: Cal. error 0.5050, RMSE 0.6827, R2 -17.5770
x213: Cal. error 0.5050, RMSE 0.6954, R2 -18.2838
x214: Cal. error 0.5050, RMSE 0.7152, R2 -19.1391
x215: Cal. error 0.5050, RMSE 0.7224, R2 -19.7497
x216: Cal. error 0.5050, RMSE 0.7194, R2 -20.4090
x217: Cal. error 0.5050, RMSE 0.7224, R2 -20.7284
x218: Cal. error 0.5050, RMSE 0.7390, R2 -21.1657
x219: Cal. error 0.5050, RMSE 0.7597, R2 -21.4128
x220: Cal. error 0.5050, RMSE 0.7982, R2 -21.8863
x221: Cal. error 0.5050, RMSE 0.8495, R2 -22.2897
x222: Cal. error 0.5050, RMSE 0.9146, R2 -22.8030
x223: Cal. error 0.5050, RMSE 0.9234, R2 -22.9344
x224: Cal. error 0.5050, RMSE 0.9163, R2 -23.0697
x225: Cal. error 0.5050, RMSE 0.8914, R2 -22.8057
x226: Cal. error 0.5050, RMSE 0.8929, R2 -22.7457
x227: Cal. error 0.5050, RMSE 0.8928, R2 -22.6351
x228: Cal. error 0.5050, RMSE 0.9114, R2 -22.8540
x229: Cal. error 0.5050, RMSE 0.9368, R2 -22.9593
x230: Cal. error 0.5050, RMSE 0.9647, R2 -23.1618
