Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7269, R2 -17.9192
x1: Cal. error 0.5050, RMSE 0.7270, R2 -17.7680
x2: Cal. error 0.5050, RMSE 0.7259, R2 -17.6372
x3: Cal. error 0.5050, RMSE 0.7267, R2 -17.5266
x4: Cal. error 0.5050, RMSE 0.7261, R2 -17.4374
x5: Cal. error 0.5050, RMSE 0.7240, R2 -17.3580
x6: Cal. error 0.5050, RMSE 0.7227, R2 -17.3174
x7: Cal. error 0.5050, RMSE 0.7209, R2 -17.2874
x8: Cal. error 0.5050, RMSE 0.7194, R2 -17.2987
x9: Cal. error 0.5050, RMSE 0.7159, R2 -17.3181
x10: Cal. error 0.5050, RMSE 0.7124, R2 -17.3595
x11: Cal. error 0.5050, RMSE 0.7095, R2 -17.4479
x12: Cal. error 0.5050, RMSE 0.7064, R2 -17.5782
x13: Cal. error 0.5050, RMSE 0.7042, R2 -17.7378
x14: Cal. error 0.5050, RMSE 0.7023, R2 -17.9124
x15: Cal. error 0.5050, RMSE 0.7015, R2 -18.1520
x16: Cal. error 0.5050, RMSE 0.7005, R2 -18.3926
x17: Cal. error 0.5050, RMSE 0.7008, R2 -18.6561
x18: Cal. error 0.5050, RMSE 0.7025, R2 -18.9643
x19: Cal. error 0.5050, RMSE 0.7052, R2 -19.2944
x20: Cal. error 0.5050, RMSE 0.7082, R2 -19.6190
x21: Cal. error 0.5050, RMSE 0.7130, R2 -19.9695
x22: Cal. error 0.5050, RMSE 0.7180, R2 -20.3313
x23: Cal. error 0.5050, RMSE 0.7239, R2 -20.7030
x24: Cal. error 0.5050, RMSE 0.7304, R2 -21.0511
x25: Cal. error 0.5050, RMSE 0.7371, R2 -21.4022
x26: Cal. error 0.5050, RMSE 0.7451, R2 -21.7549
x27: Cal. error 0.5050, RMSE 0.7522, R2 -22.0834
x28: Cal. error 0.5050, RMSE 0.7609, R2 -22.4295
x29: Cal. error 0.5050, RMSE 0.7692, R2 -22.7362
x30: Cal. error 0.5050, RMSE 0.7765, R2 -23.0254
x31: Cal. error 0.5050, RMSE 0.7835, R2 -23.3118
x32: Cal. error 0.5050, RMSE 0.7925, R2 -23.6177
x33: Cal. error 0.5050, RMSE 0.7980, R2 -23.8039
x34: Cal. error 0.5050, RMSE 0.8043, R2 -23.9829
x35: Cal. error 0.5050, RMSE 0.8110, R2 -24.1531
x36: Cal. error 0.5050, RMSE 0.8154, R2 -24.3531
x37: Cal. error 0.5050, RMSE 0.8121, R2 -24.3653
x38: Cal. error 0.5050, RMSE 0.8176, R2 -24.4246
x39: Cal. error 0.5050, RMSE 0.8248, R2 -24.4740
x40: Cal. error 0.5050, RMSE 0.8264, R2 -24.4829
x41: Cal. error 0.5050, RMSE 0.8274, R2 -24.4147
x42: Cal. error 0.5050, RMSE 0.8306, R2 -24.3600
x43: Cal. error 0.5050, RMSE 0.8327, R2 -24.2504
x44: Cal. error 0.5050, RMSE 0.8342, R2 -24.1227
x45: Cal. error 0.5050, RMSE 0.8319, R2 -23.9517
x46: Cal. error 0.5050, RMSE 0.8288, R2 -23.7075
x47: Cal. error 0.5050, RMSE 0.8247, R2 -23.4643
