Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6926, R2 -16.2388
x1: Cal. error 0.5050, RMSE 0.6918, R2 -16.0557
x2: Cal. error 0.5050, RMSE 0.6898, R2 -15.8941
x3: Cal. error 0.5050, RMSE 0.6897, R2 -15.7503
x4: Cal. error 0.5050, RMSE 0.6892, R2 -15.6714
x5: Cal. error 0.5050, RMSE 0.6868, R2 -15.5746
x6: Cal. error 0.5050, RMSE 0.6859, R2 -15.5546
x7: Cal. error 0.5050, RMSE 0.6837, R2 -15.5037
x8: Cal. error 0.5050, RMSE 0.6825, R2 -15.5249
x9: Cal. error 0.5050, RMSE 0.6787, R2 -15.5167
x10: Cal. error 0.5050, RMSE 0.6759, R2 -15.5780
x11: Cal. error 0.5050, RMSE 0.6727, R2 -15.6380
x12: Cal. error 0.5050, RMSE 0.6699, R2 -15.7635
x13: Cal. error 0.5050, RMSE 0.6676, R2 -15.8964
x14: Cal. error 0.5050, RMSE 0.6664, R2 -16.0832
x15: Cal. error 0.5050, RMSE 0.6649, R2 -16.2623
x16: Cal. error 0.5050, RMSE 0.6645, R2 -16.5097
x17: Cal. error 0.5050, RMSE 0.6647, R2 -16.7373
x18: Cal. error 0.5050, RMSE 0.6666, R2 -17.0363
x19: Cal. error 0.5050, RMSE 0.6689, R2 -17.3156
x20: Cal. error 0.5050, RMSE 0.6723, R2 -17.6354
x21: Cal. error 0.5050, RMSE 0.6767, R2 -17.9356
x22: Cal. error 0.5050, RMSE 0.6820, R2 -18.2925
x23: Cal. error 0.5050, RMSE 0.6872, R2 -18.6101
x24: Cal. error 0.5050, RMSE 0.6940, R2 -18.9511
x25: Cal. error 0.5050, RMSE 0.7001, R2 -19.2534
x26: Cal. error 0.5050, RMSE 0.7083, R2 -19.6046
x27: Cal. error 0.5050, RMSE 0.7148, R2 -19.8800
x28: Cal. error 0.5050, RMSE 0.7235, R2 -20.2142
x29: Cal. error 0.5050, RMSE 0.7311, R2 -20.4749
x30: Cal. error 0.5050, RMSE 0.7388, R2 -20.7739
x31: Cal. error 0.5050, RMSE 0.7450, R2 -21.0015
x32: Cal. error 0.5050, RMSE 0.7539, R2 -21.2995
x33: Cal. error 0.5050, RMSE 0.7589, R2 -21.4464
x34: Cal. error 0.5050, RMSE 0.7653, R2 -21.6388
x35: Cal. error 0.5050, RMSE 0.7712, R2 -21.7589
x36: Cal. error 0.5050, RMSE 0.7757, R2 -21.9569
x37: Cal. error 0.5050, RMSE 0.7721, R2 -21.9380
x38: Cal. error 0.5050, RMSE 0.7779, R2 -22.0242
x39: Cal. error 0.5050, RMSE 0.7841, R2 -22.0282
x40: Cal. error 0.5050, RMSE 0.7859, R2 -22.0564
x41: Cal. error 0.5050, RMSE 0.7866, R2 -21.9726
x42: Cal. error 0.5050, RMSE 0.7899, R2 -21.9421
x43: Cal. error 0.5050, RMSE 0.7913, R2 -21.8116
x44: Cal. error 0.5050, RMSE 0.7931, R2 -21.7243
