Calibration metrics:
x0: Cal. error 0.4580, RMSE 0.2676, R2 -1.5762
x1: Cal. error 0.4640, RMSE 0.2926, R2 -2.0534
x2: Cal. error 0.4740, RMSE 0.3200, R2 -2.6396
x3: Cal. error 0.4760, RMSE 0.3318, R2 -2.8804
x4: Cal. error 0.4810, RMSE 0.3362, R2 -2.9698
x5: Cal. error 0.4840, RMSE 0.3370, R2 -2.9938
x6: Cal. error 0.4810, RMSE 0.3318, R2 -2.8786
x7: Cal. error 0.4810, RMSE 0.3232, R2 -2.6923
x8: Cal. error 0.4680, RMSE 0.3132, R2 -2.4825
x9: Cal. error 0.4680, RMSE 0.3094, R2 -2.4354
x10: Cal. error 0.4650, RMSE 0.3078, R2 -2.4414
x11: Cal. error 0.4650, RMSE 0.3097, R2 -2.5298
x12: Cal. error 0.4720, RMSE 0.3061, R2 -2.5035
x13: Cal. error 0.4700, RMSE 0.3051, R2 -2.5323
x14: Cal. error 0.4700, RMSE 0.3040, R2 -2.5577
x15: Cal. error 0.4720, RMSE 0.3074, R2 -2.6924
x16: Cal. error 0.4740, RMSE 0.3072, R2 -2.7440
x17: Cal. error 0.4750, RMSE 0.3101, R2 -2.8632
x18: Cal. error 0.4780, RMSE 0.3163, R2 -3.0626
x19: Cal. error 0.4820, RMSE 0.3248, R2 -3.3203
x20: Cal. error 0.4840, RMSE 0.3317, R2 -3.5392
x21: Cal. error 0.4840, RMSE 0.3397, R2 -3.7760
x22: Cal. error 0.4840, RMSE 0.3495, R2 -4.0694
x23: Cal. error 0.4870, RMSE 0.3624, R2 -4.4541
x24: Cal. error 0.4870, RMSE 0.3717, R2 -4.7266
x25: Cal. error 0.4870, RMSE 0.3817, R2 -5.0212
x26: Cal. error 0.4880, RMSE 0.3925, R2 -5.3270
x27: Cal. error 0.4920, RMSE 0.4070, R2 -5.7682
x28: Cal. error 0.4890, RMSE 0.4173, R2 -6.0551
x29: Cal. error 0.4790, RMSE 0.4263, R2 -6.2979
x30: Cal. error 0.4790, RMSE 0.4323, R2 -6.4528
x31: Cal. error 0.4790, RMSE 0.4441, R2 -6.8144
x32: Cal. error 0.4790, RMSE 0.4476, R2 -6.8527
x33: Cal. error 0.4790, RMSE 0.4494, R2 -6.8642
x34: Cal. error 0.4790, RMSE 0.4509, R2 -6.8502
x35: Cal. error 0.4790, RMSE 0.4586, R2 -7.0378
x36: Cal. error 0.4890, RMSE 0.4565, R2 -6.9397
x37: Cal. error 0.4890, RMSE 0.4513, R2 -6.8265
x38: Cal. error 0.4920, RMSE 0.4527, R2 -6.7875
x39: Cal. error 0.4950, RMSE 0.4641, R2 -7.0566
x40: Cal. error 0.4950, RMSE 0.4635, R2 -7.0074
x41: Cal. error 0.4950, RMSE 0.4645, R2 -6.9976
x42: Cal. error 0.4950, RMSE 0.4693, R2 -7.0847
x43: Cal. error 0.4950, RMSE 0.4784, R2 -7.3230
